,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI
54,-,-,-,-,-,-,6600,3.05,-,-,12350.00,1050,927.10,1313.15,4950,-,-,-,-,-,-
55,28050,2025,183,39.07,7.25,-0.45,75,7.00,7.85,300,12400.00,975,967.75,1378.50,975,-,-,-,-,-,-
56,-,-,-,-,-,-,2175,3.05,-,-,12450.00,975,1017.55,1439.00,4950,-,-,-,-,-,-
57,140175,21150,375,40.89,6.55,-0.60,75,6.40,6.55,375,12500.00,975,1245.80,1490.85,975,-,-,-,-,-,-
58,-,-,-,-,-,-,150,2.30,-,-,12550.00,975,1292.25,1551.30,975,-,-,-,-,-,-
59,900,-,-,-,-,-,1875,3.05,-,-,12600.00,975,1339.05,1607.55,4950,-,-,-,-,-,-
60,-,-,-,-,-,-,3975,2.00,-,-,12650.00,4950,1313.55,1659.45,4950,-,-,-,-,-,-
61,-,-,-,-,-,-,525,1.25,-,-,12700.00,4950,1364.10,1719.90,4950,-,-,-,-,-,-
62,-,-,-,-,-,-,4500,0.45,-,-,12750.00,4950,1408.25,1771.80,4950,-,-,-,-,-,-
63,-,-,-,-,-,-,900,0.60,-,-,12800.00,4950,1452.45,1832.40,4950,-,-,-,-,-,-
64,-,-,-,-,-,-,4500,0.35,-,-,12850.00,4950,1466.45,1888.40,4950,-,-,-,-,-,-
65,-,-,-,-,-,-,900,0.60,-,-,12900.00,4950,1510.65,1944.60,4950,-,-,-,-,-,-
66,-,-,-,-,-,-,4500,0.35,-,-,12950.00,4950,1554.40,2000.75,4950,-,-,-,-,-,-
67,-,-,-,-,-,-,900,0.65,-,-,13000.00,4950,1599.00,2057.10,4950,-,-,-,-,-,-
68,-,-,-,-,-,-,4500,0.35,-,-,13050.00,4950,1640.95,2113.10,4950,-,-,-,-,-,-
69,-,-,-,-,-,-,900,0.60,-,-,13100.00,4950,1687.35,2169.30,4950,-,-,-,-,-,-
70,-,-,-,-,-,-,4500,0.35,-,-,13150.00,4950,1729.30,2222.65,4950,-,-,-,-,-,-
71,-,-,-,-,-,-,900,0.50,-,-,13200.00,4950,1775.70,2278.80,4950,-,-,-,-,-,-
72,-,-,-,-,-,-,4500,0.35,-,-,13250.00,4950,1819.85,2333.55,4950,-,-,-,-,-,-
73,375,-,-,-,-,-,900,0.50,-,-,13300.00,4950,1863.65,2389.70,4950,-,-,-,-,-,-
