,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,2,-,3725.15,1894.50,100,3882.00,3978.10,100,27000.00,400,0.60,0.85,20,-1.45,0.55,53.34,219,-340,10820,30963.1
1,-,-,-,-,-,-,100,3750.50,3950.65,460,27100.00,20,0.85,1.60,20,-1.20,1.00,52.28,545,-20,540,30963.1
2,-,-,-,-,-,-,100,3650.50,3836.10,460,27200.00,20,0.75,3.00,20,-0.20,1.10,51.43,44,40,260,30963.1
3,-,-,-,-,-,-,100,3550.50,3747.65,20,27300.00,20,0.75,2.70,140,-1.10,2.70,50.94,161,120,240,30963.1
4,-,-,-,-,-,-,100,3450.45,3657.20,460,27400.00,500,0.45,2.80,20,-1.20,0.40,44.49,63,660,660,30963.1
5,320,-,-,-,-,-,20,3355.80,3510.10,120,27500.00,40,0.70,1.00,1940,-0.40,1.00,47.02,10,100,3660,30963.1
6,-,-,-,-,-,-,20,3253.35,3452.95,20,27600.00,20,0.50,2.35,20,-1.85,1.35,47.10,1063,20,1240,30963.1
7,-,-,-,-,-,-,100,3150.50,3357.20,460,27700.00,500,0.45,2.95,20,-,-,-,-,-,60,30963.1
8,-,-,-,-,-,-,100,3050.50,3257.20,460,27800.00,20,0.50,2.95,20,-,-,-,-,-,-,30963.1
9,-,-,-,-,-,-,100,2950.50,3157.20,460,27900.00,20,0.50,2.95,20,-,-,-,-,-,-,30963.1
10,-,-,-,-,-,-,20,2866.05,3026.40,20,28000.00,440,1.30,1.60,20,-0.80,1.30,41.59,327,4000,12680,30963.1
11,-,-,-,-,-,-,40,2764.70,2929.40,100,28100.00,20,0.50,2.95,20,-,-,-,-,-,-,30963.1
12,-,-,-,-,-,-,40,2665.35,2830.60,100,28200.00,20,0.45,2.95,20,-,-,-,-,-,-,30963.1
13,-,-,-,-,-,-,40,2565.35,2730.60,100,28300.00,20,0.45,2.95,20,-,-,-,-,-,-,30963.1
14,-,-,-,-,-,-,40,2465.40,2630.60,100,28400.00,20,0.50,2.95,20,-,-,-,-,-,-,30963.1
15,-,-,-,-,-,-,20,2375.15,2527.70,20,28500.00,140,1.90,2.90,100,-0.60,2.50,37.62,400,-1480,11380,30963.1
16,-,-,-,-,-,-,40,2265.75,2431.65,100,28600.00,20,0.85,4.00,20,-,-,-,-,-,-,30963.1
17,-,-,-,-,-,-,40,2165.70,2332.65,100,28700.00,20,0.80,5.00,240,-0.55,2.95,35.51,1,-,20,30963.1
18,-,-,-,-,-,-,40,2067.90,2232.50,100,28800.00,20,3.00,4.85,20,-,-,-,-,-,-,30963.1
19,40,-,-,-,-,-,20,1976.15,2108.80,20,28900.00,300,3.40,4.00,400,-0.35,4.25,34.24,89,520,860,30963.1
20,-,-,-,-,-,-,20,1878.75,2019.40,20,29000.00,40,4.30,4.55,100,-0.30,4.30,32.96,6260,-6560,112880,30963.1
21,-,-,-,-,-,-,20,1783.90,1930.10,20,29100.00,40,4.45,5.30,200,0.75,5.25,31.45,117,440,980,30963.1
22,-,-,-,-,-,-,20,1688.75,1830.15,20,29200.00,120,4.95,5.40,20,0.05,5.00,30.71,780,1780,4500,30963.1
23,-,-,-,-,-,-,20,1586.75,1730.70,20,29300.00,20,5.20,5.90,20,-0.60,5.25,29.52,1306,120,3200,30963.1
24,-,-,-,-,-,-,20,1487.00,1631.40,20,29400.00,20,6.15,6.50,100,-0.35,6.20,28.77,3119,4620,11040,30963.1
25,180,-40,9,-,1410.10,-185.05,20,1415.55,1450.80,20,29500.00,120,7.45,7.70,1100,-0.30,7.50,28.01,31239,30300,139040,30963.1
26,-,-,-,-,-,-,20,1289.80,1433.90,20,29600.00,40,9.20,9.30,80,0.35,9.20,27.33,13708,15020,29600,30963.1
27,40,-,-,-,-,-,20,1198.80,1326.75,20,29700.00,60,11.30,11.55,80,0.55,11.65,26.56,15041,15500,40020,30963.1
28,-,-,-,-,-,-,20,1100.55,1229.05,20,29800.00,20,14.35,14.75,20,0.50,14.40,25.85,27942,10780,63540,30963.1
29,60,-,1,29.41,1099.50,-,20,1002.15,1133.40,20,29900.00,20,18.10,18.50,40,0.70,18.25,25.23,33303,10680,89800,30963.1
30,8880,-140,169,-,940.00,-162.05,40,948.65,960.85,40,30000.00,260,23.20,23.45,120,1.50,23.20,24.70,122053,53260,360600,30963.1
31,120,-,6,-,808.85,-198.25,20,843.90,874.55,20,30100.00,80,29.25,29.50,100,3.25,29.30,24.22,56135,11260,112300,30963.1
32,660,-20,10,21.81,759.85,-133.60,20,745.35,781.25,20,30200.00,80,37.15,37.45,380,5.20,37.45,23.71,62397,800,140740,30963.1
33,460,-,16,-,635.35,-184.60,20,672.00,694.15,20,30300.00,160,48.60,49.05,120,7.30,49.05,23.30,87330,40040,142520,30963.1
34,580,-40,20,-,600.90,-111.05,20,583.45,607.35,20,30400.00,20,62.70,63.10,100,10.30,62.80,22.96,111611,96900,194340,30963.1
35,25160,-200,1478,16.55,516.90,-109.35,80,511.65,521.95,20,30500.00,100,81.40,82.05,100,15.65,81.95,22.87,244046,78740,519800,30963.1
36,4940,-580,592,16.99,447.75,-94.60,20,434.30,445.75,20,30600.00,400,104.00,104.70,20,21.50,104.55,22.54,184801,62040,258940,30963.1
37,26440,1020,2295,17.21,375.00,-107.95,20,368.30,372.15,60,30700.00,120,132.95,133.95,20,29.80,134.05,22.36,226012,163820,352440,30963.1
38,43240,6700,14944,17.73,308.75,-96.65,80,307.15,309.15,60,30800.00,20,167.55,169.05,60,39.60,167.85,22.33,304594,123260,283360,30963.1
39,103540,59700,37142,18.05,252.00,-89.95,20,250.20,251.35,20,30900.00,100,209.60,210.55,20,52.80,210.30,22.28,203772,78100,173260,30963.1
40,442780,171000,124792,18.45,202.95,-73.00,80,201.65,202.70,20,31000.00,20,258.65,260.45,60,66.65,259.80,22.50,374287,60360,286760,30963.1
41,293600,166000,138142,18.77,160.95,-64.80,40,160.60,161.40,20,31100.00,40,312.35,315.25,60,76.70,312.95,22.47,151098,41760,100660,30963.1
42,559160,368400,248977,19.06,126.00,-53.50,20,125.50,126.20,100,31200.00,60,374.95,378.20,60,85.85,375.00,22.72,132714,92360,127040,30963.1
43,538300,299120,280328,19.22,95.90,-39.90,40,95.90,96.45,40,31300.00,40,440.55,445.70,40,95.65,441.75,21.95,77079,82960,101600,30963.1
44,510820,281760,254078,19.52,72.90,-29.85,120,72.60,73.00,380,31400.00,20,515.45,524.85,20,98.50,511.35,22.12,22764,16380,38020,30963.1
45,1124480,643580,421722,19.80,54.60,-22.20,60,54.25,54.55,20,31500.00,40,595.35,601.10,20,112.35,600.00,21.59,12564,10560,41940,30963.1
46,484000,248820,201567,19.93,39.85,-14.55,80,39.55,39.70,20,31600.00,20,677.60,690.55,20,104.20,676.55,28.34,1188,1000,8380,30963.1
47,321780,95100,140644,20.27,29.50,-9.80,120,29.40,29.60,80,31700.00,40,767.45,781.65,20,117.15,762.05,31.60,1008,700,3560,30963.1
48,330880,115180,126661,20.53,21.80,-6.40,420,21.55,21.80,100,31800.00,20,856.50,874.00,20,108.95,878.90,25.35,118,-160,1160,30963.1
49,195240,72520,74351,20.78,15.00,-5.90,2440,15.00,15.20,360,31900.00,20,945.65,985.35,20,190.80,1036.80,36.17,28,40,920,30963.1
50,615120,71660,127003,21.18,11.40,-5.20,100,11.25,11.45,340,32000.00,20,1046.55,1069.40,20,144.20,1065.00,26.64,743,560,36000,30963.1
51,137080,42700,38611,21.20,7.65,-3.65,200,7.40,7.65,40,32100.00,20,1132.55,1177.70,20,156.60,1166.30,28.82,201,240,1060,30963.1
52,121960,48400,29237,21.71,5.65,-2.65,1000,5.55,5.60,20,32200.00,20,1188.35,1301.45,20,105.95,1369.00,47.52,4,40,160,30963.1
53,58960,16780,15372,22.21,4.25,-2.05,20,4.25,4.35,200,32300.00,20,1334.25,1380.55,20,239.45,1422.05,43.03,4,20,80,30963.1
54,50720,15640,13337,23.20,3.70,-1.25,60,3.60,3.75,240,32400.00,20,1386.40,1500.35,20,-,-,-,-,-,-,30963.1
55,187680,20600,25103,24.26,3.45,-1.30,200,3.40,3.45,20,32500.00,20,1530.45,1574.35,20,137.30,1522.45,-,12,40,520,30963.1
56,21880,9280,5252,24.86,2.70,-0.50,20,2.60,2.70,80,32600.00,20,1575.40,1710.50,20,-,-,-,-,-,-,30963.1
57,17680,6840,3551,25.27,2.10,-0.05,820,2.00,2.10,100,32700.00,20,1674.80,1802.65,20,-,-,-,-,-,-,30963.1
58,8320,5340,1370,25.57,1.50,-0.95,200,1.45,1.55,20,32800.00,20,1774.25,1902.85,20,-,-,-,-,-,-,30963.1
59,8940,-580,1122,26.55,1.50,-1.00,200,1.35,1.45,140,32900.00,20,1874.15,2003.60,20,-,-,-,-,-,-,30963.1
60,45420,-2460,1893,27.39,1.30,-0.95,80,1.25,1.30,40,33000.00,20,2026.55,2073.30,20,-,-,-,-,-,140,30963.1
61,4440,1180,256,27.12,0.80,-0.50,20,0.80,1.45,440,33100.00,380,2057.30,2213.20,20,-,-,-,-,-,-,30963.1
62,-,-,-,-,-,-,200,0.20,2.40,200,33200.00,380,2151.55,2330.45,100,-,-,-,-,-,-,30963.1
63,20,20,2,27.12,0.35,-81.55,200,0.50,2.50,20,33300.00,380,2251.95,2409.25,100,-,-,-,-,-,-,30963.1
