,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,3500,-,-,-,-,-,1000,477.30,489.05,1000,840.00,4000,0.05,2.75,1000,-,-,-,-,-,1500,1323.25
1,6500,-,-,-,-,-,2000,455.30,467.80,1000,860.00,2500,0.05,2.50,3000,-,-,-,-,-,-,1323.25
2,-,-,-,-,-,-,1000,436.10,447.80,1000,880.00,2500,0.05,2.85,1000,-,-,-,-,-,-,1323.25
3,10000,-,-,-,-,-,2000,415.35,427.80,1000,900.00,17000,0.05,1.55,1000,-,-,-,-,-,37500,1323.25
4,1000,-,-,-,-,-,1000,396.15,407.80,1000,920.00,-,-,-,-,-,-,-,-,-,-,1323.25
5,1500,-,-,-,-,-,1000,376.20,389.00,1000,940.00,-,-,-,-,-,-,-,-,-,10000,1323.25
6,2000,-,-,-,-,-,3000,355.40,370.15,3000,960.00,-,-,2.20,1000,-,-,-,-,-,32500,1323.25
7,1000,-,-,-,-,-,1000,336.25,347.75,1000,980.00,-,-,0.10,500,0.05,0.10,146.31,1,-,10000,1323.25
8,14000,-,2,-,319.00,8.00,500,319.40,328.25,1000,1000.00,1000,0.10,0.20,500,-,0.20,147.50,3,-,168000,1323.25
9,500,-,-,-,-,-,1000,296.30,307.75,1000,1020.00,-,-,1.90,2500,-,-,-,-,-,6000,1323.25
10,3000,-,-,-,-,-,1000,278.00,289.05,1000,1040.00,-,-,0.20,1500,-,-,-,-,-,12000,1323.25
11,1000,-,-,-,-,-,12500,207.50,319.50,1000,1060.00,-,-,0.25,500,-,-,-,-,-,6500,1323.25
12,2000,-,-,-,-,-,12500,199.45,342.95,12500,1080.00,1500,0.10,2.10,500,-,-,-,-,-,18500,1323.25
13,11500,-,-,-,-,-,500,220.25,224.25,500,1100.00,19000,0.10,0.20,3500,-,-,-,-,-,229500,1323.25
14,4000,-,-,-,-,-,500,190.55,212.00,500,1120.00,-,-,1.15,500,-,-,-,-,-,31000,1323.25
15,9500,-,-,-,-,-,500,168.95,194.15,500,1140.00,4500,0.10,0.25,500,-,-,-,-,-,68500,1323.25
16,7500,-,-,-,-,-,500,158.15,165.05,500,1160.00,74000,0.05,0.25,2000,-0.15,0.10,69.45,2,-500,132000,1323.25
17,14000,-,-,-,-,-,500,130.05,148.20,500,1180.00,1500,0.10,0.30,500,-,-,-,-,-,49500,1323.25
18,52000,-,1,-,115.10,6.10,1000,121.35,123.05,1000,1200.00,500,0.25,0.30,2500,-0.45,0.25,59.75,19,-,587500,1323.25
19,10500,-,1,-,99.00,6.90,1000,101.85,104.35,1000,1220.00,6500,0.25,0.35,2000,-0.50,0.35,53.49,11,-,181000,1323.25
20,67500,500,11,-,84.20,12.15,500,82.45,84.05,500,1240.00,500,0.60,0.65,1000,-0.50,0.65,49.16,294,7500,887500,1323.25
21,768000,-,-,-,-,-,1000,64.40,65.80,500,1260.00,1000,1.65,1.70,3500,-1.10,1.65,47.84,724,51500,750500,1323.25
22,208000,-1500,37,49.98,49.00,12.60,500,45.25,46.15,500,1280.00,2000,3.20,3.30,4000,-2.40,3.30,44.31,819,56500,529000,1323.25
23,691500,29000,600,36.40,29.50,6.90,500,29.20,29.55,500,1300.00,5000,6.90,7.05,3000,-4.45,7.05,42.45,1921,70000,1419000,1323.25
24,699000,25500,2061,37.70,17.10,4.75,500,17.10,17.20,1000,1320.00,1500,13.40,13.60,500,-6.90,13.50,40.34,1113,59000,540500,1323.25
25,1699500,113000,2847,38.79,8.75,2.40,500,8.75,8.90,1500,1340.00,1000,24.15,24.40,500,-9.65,24.15,38.34,259,13500,409000,1323.25
26,2085500,71000,1780,39.38,3.85,0.65,500,3.80,3.85,2500,1360.00,500,38.85,40.25,500,-8.85,40.25,42.33,34,-1500,279500,1323.25
27,1534500,46500,1156,40.64,1.60,-0.15,2000,1.60,1.65,1500,1380.00,500,56.60,57.55,1000,-11.80,56.95,39.02,7,-1000,182000,1323.25
28,3445000,-170500,1263,46.45,1.05,-0.20,8500,1.00,1.10,20500,1400.00,1000,75.65,76.70,2000,-15.30,73.00,-,17,-1000,206000,1323.25
29,1483000,-42500,307,50.92,0.65,-0.20,9000,0.60,0.65,16000,1420.00,500,94.70,98.50,500,12.85,99.10,73.48,1,-,124000,1323.25
30,1150500,-46500,295,57.58,0.55,-0.15,2000,0.50,0.55,12000,1440.00,1000,113.65,118.15,500,-,-,-,-,-,53000,1323.25
31,566500,6000,192,62.33,0.40,-0.25,8500,0.40,0.50,11500,1460.00,500,134.05,137.20,500,-11.70,136.50,71.58,1,-,37500,1323.25
32,375000,-9000,54,69.64,0.40,-0.20,3500,0.40,0.45,17000,1480.00,500,155.00,157.95,500,-,-,-,-,-,14000,1323.25
33,1443000,-15500,194,73.83,0.30,-0.25,72000,0.30,0.35,2000,1500.00,1000,167.50,177.90,500,-,-,-,-,-,28500,1323.25
34,156000,-3000,21,78.72,0.25,-0.15,13500,0.25,0.30,10000,1520.00,500,186.10,211.50,500,-,-,-,-,-,1500,1323.25
35,279000,-1000,55,82.92,0.20,-0.10,31000,0.15,0.25,28000,1540.00,500,205.20,230.80,500,-,-,-,-,-,2000,1323.25
36,121500,-,-,-,-,-,4500,0.15,0.25,34000,1560.00,1500,229.65,238.10,500,-,-,-,-,-,3500,1323.25
37,72000,-,-,-,-,-,26500,0.05,0.25,3000,1580.00,2000,252.15,257.50,500,-,-,-,-,-,16500,1323.25
38,806500,-4000,11,97.90,0.15,-0.10,107500,0.10,0.15,41000,1600.00,500,273.10,277.15,1000,-,-,-,-,-,11000,1323.25
