,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,13500,-,-,-,-,-,2000,349.70,361.20,2000,960.00,3000,0.05,0.90,500,-,-,-,-,-,-,1316.55
1,7000,-,-,-,-,-,9000,331.95,341.00,8000,980.00,500,0.10,0.90,500,-,-,-,-,-,1000,1316.55
2,31000,-,-,-,-,-,6000,310.70,321.60,6000,1000.00,2000,0.25,0.40,1000,-0.05,0.40,62.24,8,1500,48000,1316.55
3,1000,-,-,-,-,-,2000,291.75,302.20,2000,1020.00,-,-,1.00,500,-,-,-,-,-,-,1316.55
4,2000,-,-,-,-,-,2000,271.85,282.25,2000,1040.00,-,-,2.85,1000,-,-,-,-,-,-,1316.55
5,1000,-,-,-,-,-,2000,251.20,261.15,2000,1060.00,-,-,2.65,2000,-,-,-,-,-,-,1316.55
6,500,-,-,-,-,-,1000,231.90,242.00,1000,1080.00,1000,0.05,1.00,1000,-,-,-,-,-,2000,1316.55
7,15000,-,-,-,-,-,2500,212.55,222.65,2500,1100.00,5500,0.25,0.40,3500,-0.10,0.35,42.17,5,-2000,61000,1316.55
8,-,-,-,-,-,-,1500,192.90,202.35,2000,1120.00,1000,0.10,0.80,500,-,-,-,-,-,2500,1316.55
9,5500,-,-,-,-,-,1500,172.35,179.70,2500,1140.00,3000,0.50,0.85,500,0.05,1.00,40.77,1,500,29000,1316.55
10,2000,-,-,-,-,-,6500,152.80,159.20,500,1160.00,1000,0.55,0.75,500,-,-,-,-,-,20500,1316.55
11,-,-,-,-,-,-,500,135.50,140.05,1500,1180.00,1000,0.80,1.15,500,0.20,1.00,32.59,19,1500,16500,1316.55
12,41000,-,2,-,114.50,-9.40,500,117.15,119.60,500,1200.00,2000,1.20,1.30,6500,0.10,1.25,29.72,191,8000,497500,1316.55
13,2000,500,4,-,99.05,-1.45,500,97.95,101.10,3000,1220.00,2500,1.85,1.95,8500,0.55,1.90,27.87,208,43500,155000,1316.55
14,41000,-,7,20.64,81.75,-3.25,1000,78.65,82.35,8000,1240.00,4000,2.35,2.45,2000,0.45,2.45,24.84,690,12500,928000,1316.55
15,32000,3000,23,18.10,62.60,-9.15,500,61.60,62.90,500,1260.00,3500,4.45,4.60,4000,0.75,4.50,24.24,1276,20500,562500,1316.55
16,49000,4000,82,19.29,46.35,-7.85,500,46.15,46.60,1000,1280.00,500,8.20,8.30,4000,1.50,8.50,24.06,1356,32500,450500,1316.55
17,303000,4500,525,20.18,32.75,-6.75,500,32.60,32.95,500,1300.00,500,14.35,14.40,500,2.40,14.35,23.72,3923,67500,916000,1316.55
18,796000,198500,2986,21.68,21.95,-5.65,500,21.65,21.90,2500,1320.00,1000,23.00,23.25,2000,3.45,23.15,24.10,2104,59000,554000,1316.55
19,1534500,133000,3111,22.15,13.95,-4.45,500,13.75,13.90,2000,1340.00,500,34.60,35.00,1500,4.40,34.50,24.91,593,-4500,373000,1316.55
20,2043500,134500,2522,22.70,8.45,-3.40,500,8.40,8.50,2500,1360.00,500,48.95,49.45,1500,6.35,49.85,25.73,49,-10500,188500,1316.55
21,1345000,53000,1301,23.50,5.15,-2.40,1000,5.10,5.25,4500,1380.00,500,65.40,65.95,1500,8.25,66.05,26.69,21,-7000,99500,1316.55
22,2382000,-15000,1729,24.88,3.30,-1.55,3500,3.25,3.40,6500,1400.00,500,83.30,83.90,500,9.25,84.60,29.59,50,1000,134500,1316.55
23,721000,5500,749,25.00,1.75,-1.05,3500,1.70,1.80,4500,1420.00,500,101.35,103.40,500,7.20,101.20,27.14,3,-,45000,1316.55
24,422000,-49000,312,27.00,1.30,-0.45,3000,1.25,1.35,6500,1440.00,1000,120.70,125.00,3500,-5.45,119.05,22.23,1,-500,33000,1316.55
25,232000,-14500,62,28.97,1.00,-0.15,1500,1.00,1.10,2000,1460.00,500,140.60,143.75,1000,-,-,-,-,-,15000,1316.55
26,82000,-500,8,31.58,0.90,-0.10,2500,0.85,0.95,2000,1480.00,1000,159.75,162.95,500,-,-,-,-,-,3500,1316.55
27,1285000,-12000,151,34.31,0.85,-0.10,33500,0.80,0.85,2000,1500.00,7000,178.35,182.40,500,12.45,183.00,47.90,11,-1000,57000,1316.55
28,31000,-,-,-,-,-,3500,0.40,0.80,1000,1520.00,5500,197.20,205.70,6000,-,-,-,-,-,1000,1316.55
29,20500,-1500,4,37.12,0.50,0.05,3500,0.45,0.65,2000,1540.00,5500,217.05,225.25,6000,-,-,-,-,-,-,1316.55
30,49000,-,-,-,-,-,1000,0.55,0.65,500,1560.00,5000,236.95,246.60,5000,-,-,-,-,-,5500,1316.55
31,7500,-,-,-,-,-,4000,0.15,0.50,1000,1580.00,5000,256.85,266.30,5000,-,-,-,-,-,24000,1316.55
32,495500,-2000,6,43.60,0.40,-0.15,1500,0.35,0.50,1000,1600.00,5000,274.70,282.05,500,-1.75,277.00,-,3,-,23000,1316.55
