,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI
0,20625,-75,2,-,1868.00,5.10,75,1878.00,1887.80,75,9300.00,75,12.20,13.00,150,1.30,12.25,51.32,181,2175,97350
1,-,-,-,-,-,-,75,1711.35,2085.10,75,9350.00,1800,3.05,-,-,-,-,-,-,-,-
2,1500,-,-,-,-,-,75,1780.00,1793.10,75,9400.00,75,14.20,15.70,75,0.90,14.45,50.30,70,3825,11250
3,-,-,-,-,-,-,375,1618.85,1978.00,4950,9450.00,1800,3.05,-,-,-,-,-,-,-,-
4,744900,-13725,757,-,1684.95,12.20,75,1690.70,1698.90,75,9500.00,150,18.05,18.25,150,1.55,18.10,49.74,2456,52950,498900
5,-,-,-,-,-,-,375,1525.85,1835.55,4950,9550.00,13575,3.05,-,-,-,-,-,-,-,-
6,67950,-,1,-,1575.00,-22.45,75,1588.75,1599.65,150,9600.00,225,20.60,21.20,150,1.00,20.75,48.40,877,17250,50025
7,-,-,-,-,-,-,375,1432.90,1722.30,4950,9650.00,17775,3.05,-,-,-,-,-,-,-,-
8,138075,-10800,721,-,1494.00,18.05,750,1495.20,1502.45,75,9700.00,150,24.30,25.85,150,0.10,23.95,47.35,784,-6675,125775
9,-,-,-,-,-,-,1200,1340.35,1631.95,4950,9750.00,17775,3.05,-,-,-,-,-,-,-,-
10,26550,-75,13,-,1412.95,-60.90,75,1397.40,1404.85,75,9800.00,150,28.90,29.20,75,-0.10,29.10,46.45,1157,-1350,94500
11,-,-,-,-,-,-,1200,1247.35,1521.90,4950,9850.00,17775,3.05,-,-,-,-,-,-,-,-
12,13350,-,6,-,1309.90,-2.50,75,1303.00,1315.05,75,9900.00,225,35.00,35.30,225,-0.25,35.10,45.65,1043,-150,57150
13,-,-,-,-,-,-,1200,1154.50,1416.55,4950,9950.00,22875,3.05,-,-,-,-,-,-,-,-
14,581475,-4425,279,24.49,1213.00,3.65,150,1217.15,1223.80,75,10000.00,300,42.00,42.45,75,-0.15,42.50,45.10,5334,50625,1283700
15,-,-,-,-,-,-,1200,1060.90,1319.90,3000,10050.00,35775,3.05,-,-,-,-,-,-,-,-
16,1200,-,2,30.81,1127.50,37.50,75,1119.30,1132.90,75,10100.00,75,49.60,49.95,75,-0.65,50.20,43.98,2348,18225,191925
17,-,-,-,-,-,-,1200,968.70,1228.90,3000,10150.00,38775,3.05,-,-,-,-,-,-,-,-
18,7275,75,8,-,1015.00,-85.00,75,1031.60,1039.45,75,10200.00,75,58.80,59.15,75,-1.65,59.40,43.09,3862,73950,348525
19,-,-,-,-,-,-,1200,875.90,1128.60,4950,10250.00,35700,3.10,-,-,-,-,-,-,-,-
20,18150,-300,10,32.56,946.10,-3.80,75,944.15,951.95,75,10300.00,75,71.05,71.45,75,-2.40,71.50,42.45,4379,114150,491625
21,-,-,-,-,-,-,1200,782.25,1040.95,4950,10350.00,35700,3.30,-,-,-,-,-,-,-,-
22,31200,-150,33,32.60,856.75,7.00,75,854.95,862.00,600,10400.00,75,82.15,82.55,75,-5.20,82.20,41.26,3216,10500,442725
23,825,-,-,-,-,-,1200,702.35,930.65,4950,10450.00,39675,4.00,-,-,-,-,-,-,-,-
24,256050,-6750,282,33.38,778.00,7.15,75,777.00,783.40,75,10500.00,225,98.25,98.85,75,-7.30,98.70,40.66,11626,117900,1878600
25,75,-,-,-,-,-,1200,594.00,843.05,4950,10550.00,34575,9.75,-,-,-,-,-,-,-,-
26,53700,-825,46,33.24,693.25,3.45,75,691.35,699.75,75,10600.00,75,116.00,116.45,75,-8.35,116.05,39.77,3851,10425,498300
27,225,-,-,-,-,-,1200,484.90,783.40,4950,10650.00,36300,21.45,-,-,-,-,-,-,-,375
28,127875,-1350,46,32.63,611.70,1.50,150,615.00,619.55,75,10700.00,75,137.45,137.85,225,-8.45,137.70,39.14,3190,-19350,443025
29,75,-,-,-,-,-,375,387.85,724.90,3000,10750.00,34200,42.80,-,-,-,-,-,-,-,-
30,145425,1875,105,33.24,542.50,-18.90,75,538.20,545.95,150,10800.00,225,163.15,164.00,450,-9.60,163.50,38.46,4195,44475,1025325
