,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,9375,186.40,247.20,9375,1120.00,375,0.10,-,-,-,-,-,-,-,-,1332.2
1,375,-,-,-,-,-,9375,171.75,237.15,9375,1140.00,375,0.10,-,-,-,-,-,-,-,-,1332.2
2,750,-,-,-,-,-,9375,150.25,199.95,1875,1160.00,375,0.35,2.50,375,-,-,-,-,-,-,1332.2
3,-,-,-,-,-,-,1875,137.55,180.60,1875,1180.00,375,0.35,-,-,-,-,-,-,-,-,1332.2
4,-,-,-,-,-,-,750,133.40,141.30,375,1200.00,375,1.30,2.30,750,-,-,-,-,-,25875,1332.2
5,-,-,-,-,-,-,1875,108.20,125.00,375,1220.00,1875,0.45,5.95,375,-,-,-,-,-,-,1332.2
6,-,-,-,-,-,-,375,91.00,104.30,1125,1240.00,375,2.25,5.00,750,-0.55,3.70,31.76,3,750,11625,1332.2
7,750,-,-,-,-,-,750,79.55,84.45,750,1260.00,1875,6.00,6.20,3000,-0.60,5.90,31.38,121,-1500,57750,1332.2
8,375,-,-,-,-,-,375,63.60,67.75,750,1280.00,1500,9.10,9.30,375,-0.50,9.30,30.19,185,5625,93750,1332.2
9,15000,-,7,29.29,52.05,1.60,375,50.00,51.95,375,1300.00,375,13.85,14.10,375,-0.60,13.90,29.32,414,17625,154500,1332.2
10,51750,8250,252,27.96,37.65,-0.50,375,36.95,37.55,375,1320.00,375,20.50,20.85,375,-0.75,20.55,28.93,452,-1125,63000,1332.2
11,177375,48750,1199,28.41,26.25,-1.00,375,26.20,26.45,375,1340.00,375,29.45,29.80,375,-1.10,29.45,28.57,234,6750,117375,1332.2
12,225000,19875,747,27.72,18.00,-1.00,1125,18.00,18.20,750,1360.00,375,39.20,41.40,375,-1.45,38.60,26.15,13,1125,145500,1332.2
13,229500,33375,793,27.96,12.35,-0.60,375,12.00,12.20,1875,1380.00,375,52.45,56.55,375,-4.35,50.85,24.34,20,-3375,51000,1332.2
14,573750,40500,558,28.62,8.00,-0.70,1125,7.80,8.05,2250,1400.00,375,68.40,71.50,375,-3.00,68.00,26.17,36,-375,105375,1332.2
15,230250,-2250,90,29.93,5.90,-0.20,3000,5.25,6.25,11250,1420.00,750,85.45,91.10,750,-,-,-,-,-,27000,1332.2
16,174375,-,43,30.06,3.60,-0.45,750,3.60,3.90,750,1440.00,750,102.70,107.30,375,-,-,-,-,-,37500,1332.2
17,160500,1875,50,32.47,3.00,-0.10,375,2.60,3.15,750,1460.00,375,122.45,126.75,375,-,-,-,-,-,24750,1332.2
18,86625,-9000,51,35.07,2.60,0.15,375,1.80,2.65,1125,1480.00,375,136.10,151.85,2625,-,-,-,-,-,12750,1332.2
19,326250,-,125,36.38,1.95,-0.15,2625,1.80,1.90,750,1500.00,375,161.60,165.75,750,-6.20,171.80,56.19,1,-375,42750,1332.2
20,18750,-,1,37.99,1.55,0.55,375,1.05,2.95,750,1520.00,9375,157.35,191.00,375,-,-,-,-,-,4500,1332.2
21,39375,-375,3,38.74,1.10,0.95,375,0.65,1.40,750,1540.00,9375,180.35,226.10,9375,-,-,-,-,-,4875,1332.2
22,31875,-,-,-,-,-,375,0.65,1.25,375,1560.00,9375,198.40,230.25,375,-,-,-,-,-,2625,1332.2
23,6000,-,-,-,-,-,750,0.55,1.50,375,1580.00,9375,215.50,282.60,9375,-,-,-,-,-,1125,1332.2
24,71250,-10500,45,46.57,1.00,0.25,750,0.80,1.00,750,1600.00,375,252.55,271.75,750,-,-,-,-,-,34875,1332.2
25,33000,-375,12,49.26,1.00,-3.15,375,0.80,1.90,750,1620.00,9375,246.40,328.55,9375,-,-,-,-,-,-,1332.2
26,1875,-,-,-,-,-,375,0.35,1.00,750,1640.00,9375,268.75,354.55,9375,-,-,-,-,-,-,1332.2
27,375,-,-,-,-,-,375,0.10,2.95,750,1660.00,9375,278.30,374.55,9375,-,-,-,-,-,-,1332.2
28,-,-,-,-,-,-,375,0.10,-,-,1680.00,9375,297.95,400.75,9375,-,-,-,-,-,-,1332.2
29,15000,-,-,-,-,-,750,0.50,1.00,375,1700.00,1125,347.55,376.45,1125,-,-,-,-,-,49875,1332.2
30,-,-,-,-,-,-,-,-,-,-,1720.00,9375,336.15,444.70,9375,-,-,-,-,-,-,1332.2
31,-,-,-,-,-,-,-,-,-,-,1740.00,9375,352.35,467.80,9375,-,-,-,-,-,-,1332.2
32,-,-,-,-,-,-,-,-,-,-,1760.00,9375,371.35,500.10,9375,-,-,-,-,-,-,1332.2
33,-,-,-,-,-,-,-,-,-,-,1780.00,9375,386.00,524.35,9375,-,-,-,-,-,-,1332.2
34,2250,-,-,-,-,-,375,0.10,1.35,375,1800.00,9375,403.75,547.00,9375,-,-,-,-,-,5250,1332.2
