,name,curprice,pcr,resistance,support,CallChngInLTP,PutChngInLTP,CoiMaxAdd,CoiMaxExit,callprob,putprob
291,KOTAKBANK_10-01-2019_09:30.csv,1231.45,0.6087816455696202,"1260.0,1300.0,1400.0,1240.0,","1200.0,1160.0,1100.0,1140.0,","-6.54,-7.17,nan,1.22,","-0.53,-3.01,nan,nan,","1260.0,1300.0,900.0,1260.0,","900.0,1500.0,1240.0,1500.0,","63.11,78.27,100.0,53.79,","64.7,81.03,100.0,100.0,"
292,KOTAKBANK_10-01-2019_10:00.csv,1233.85,0.644159072079536,"1260.0,1300.0,1400.0,1240.0,","1200.0,1160.0,1100.0,1140.0,","-5.32,-4.55,-21.28,-9.62,","0.78,2.84,4.0,-7.83,","1260.0,1240.0,1220.0,1200.0,","1320.0,900.0,1240.0,900.0,","62.2,77.55,95.98,53.1,","65.36,80.93,93.78,86.66,"
293,KOTAKBANK_10-01-2019_10:30.csv,1234.15,0.6134122287968442,"1260.0,1300.0,1400.0,1240.0,","1200.0,1160.0,1100.0,1140.0,","-7.57,-9.52,-3.64,-6.58,","-2.41,-4.91,5.88,-7.83,","1260.0,1240.0,1220.0,1200.0,","1320.0,1400.0,1240.0,1500.0,","62.06,77.46,95.33,52.8,","65.75,81.9,93.84,86.91,"
294,KOTAKBANK_10-01-2019_11:00.csv,1230.5,0.6088315748339195,"1260.0,1300.0,1400.0,1240.0,","1200.0,1160.0,1100.0,1140.0,","-14.7,-16.34,-14.0,-11.98,","5.45,5.0,5.88,-5.98,","1260.0,1240.0,1220.0,1100.0,","1320.0,1400.0,1240.0,900.0,","64.03,79.1,95.6,54.66,","64.19,80.17,93.47,86.19,"
295,KOTAKBANK_10-01-2019_11:30.csv,1228.3,0.6081553398058253,"1260.0,1300.0,1400.0,1240.0,","1200.0,1160.0,1100.0,1140.0,","-14.46,-19.6,-21.28,-13.91,","5.68,6.04,5.88,-5.98,","1240.0,1260.0,1180.0,1220.0,","1320.0,1400.0,1240.0,900.0,","64.95,80.04,96.2,55.78,","63.06,79.52,93.31,85.74,"
296,KOTAKBANK_10-01-2019_12:00.csv,1231.55,0.6069767441860465,"1260.0,1300.0,1400.0,1240.0,","1200.0,1160.0,1100.0,1140.0,","-9.06,-11.57,-1.79,-8.81,","2.55,3.93,7.69,-5.98,","1240.0,1260.0,1220.0,1180.0,","1320.0,1500.0,1240.0,1000.0,","63.61,78.59,95.7,54.12,","64.51,80.27,93.59,86.29,"
297,KOTAKBANK_10-01-2019_12:30.csv,1226.85,0.6128293241695304,"1260.0,1300.0,1240.0,1400.0,","1200.0,1160.0,1100.0,1140.0,","-11.02,-10.33,-9.46,-26.67,","14.73,16.99,23.81,6.06,","1240.0,1260.0,1200.0,1180.0,","1320.0,1500.0,1240.0,1000.0,","64.94,79.76,56.1,96.45,","61.95,78.19,92.28,84.43,"
298,KOTAKBANK_10-01-2019_13:00.csv,1221.1,0.6254295532646048,"1260.0,1300.0,1240.0,1400.0,","1200.0,1160.0,1100.0,1220.0,","-17.87,-21.54,-17.77,-11.76,","26.96,29.05,23.81,23.17,","1240.0,1260.0,1200.0,1220.0,","1320.0,1400.0,1000.0,900.0,","66.97,80.73,58.56,95.8,","59.25,76.04,92.38,50.49,"
299,KOTAKBANK_10-01-2019_13:30.csv,1224.0,0.6297431966270601,"1260.0,1300.0,1240.0,1400.0,","1200.0,1160.0,1100.0,1220.0,","-15.9,-16.8,-13.91,-11.76,","19.58,24.34,23.81,18.89,","1240.0,1260.0,1200.0,1220.0,","1320.0,1400.0,1000.0,1260.0,","65.83,79.94,57.22,95.84,","60.75,77.2,92.38,51.8,"
300,KOTAKBANK_10-01-2019_14:00.csv,1223.1,0.6296438146304099,"1260.0,1300.0,1240.0,1400.0,","1200.0,1160.0,1100.0,1220.0,","-17.62,-18.18,-16.08,-11.76,","17.67,26.61,23.81,17.35,","1240.0,1260.0,1200.0,1220.0,","1300.0,1320.0,1000.0,1260.0,","66.63,80.7,57.84,95.86,","60.27,76.75,92.33,51.39,"
