,name,curprice,pcr,resistance,support,CallChngInLTP,PutChngInLTP,CoiMaxAdd,CoiMaxExit,callprob,putprob
193,BANKNIFTY_31-12-2018_19:29.csv,27160.2,0.9644317583053444,"27500.0,27400.0,27300.0,28000.0,","27000.0,26500.0,26900.0,26000.0,","-22.02,-13.0,-5.46,-159.09,","-45.56,-69.47,-53.77,-110.61,","27500.0,27400.0,27000.0,27200.0,","27000.0,26700.0,26200.0,26800.0,","62.15,58.46,54.82,79.47,","56.7,71.87,60.5,79.7,"
194,BANKNIFTY_01-01-2019_08:49.csv,27160.2,0.9644317583053444,"27500.0,27400.0,27300.0,28000.0,","27000.0,26500.0,26900.0,26000.0,","-22.02,-13.0,-5.46,-159.09,","-45.56,-69.47,-53.77,-110.61,","27500.0,27400.0,27000.0,27200.0,","27000.0,26700.0,26200.0,26800.0,","62.15,58.46,54.82,79.47,","56.7,71.87,60.5,79.7,"
195,BANKNIFTY_01-01-2019_09:00.csv,27160.2,0.9823031213221756,"27500.0,27400.0,27300.0,28000.0,","27000.0,26500.0,26900.0,26000.0,","-22.02,-13.0,-5.46,-159.09,","-45.56,-69.47,-53.77,-110.61,","27500.0,27400.0,27000.0,27200.0,","27000.0,26700.0,26200.0,26800.0,","62.15,58.46,54.82,79.47,","56.7,71.87,60.5,79.7,"
196,BANKNIFTY_01-01-2019_09:30.csv,27124.3,0.9315701337330492,"27500.0,27400.0,27300.0,28000.0,","27000.0,26500.0,26900.0,26800.0,","-62.02,-49.31,-40.28,-73.33,","19.28,7.86,19.77,19.27,","27300.0,27200.0,26900.0,27100.0,","27800.0,27900.0,26500.0,26200.0,","62.19,58.93,55.63,76.01,","54.12,67.79,57.32,60.29,"
197,BANKNIFTY_01-01-2019_10:00.csv,27057.75,0.8608308321093301,"27500.0,27300.0,27400.0,27200.0,","27000.0,26500.0,26800.0,26900.0,","-130.47,-90.1,-109.03,-76.11,","33.29,19.12,31.8,33.31,","27300.0,27400.0,26800.0,27100.0,","28100.0,27800.0,26500.0,26200.0,","64.49,58.0,61.29,54.74,","51.99,66.9,58.67,55.37,"
198,BANKNIFTY_01-01-2019_10:30.csv,27075.75,0.8201931015041379,"27500.0,27300.0,27400.0,27200.0,","27000.0,26800.0,26900.0,26500.0,","-120.18,-81.19,-98.8,-66.78,","26.73,22.79,25.9,3.73,","27300.0,27200.0,26800.0,26900.0,","27800.0,28100.0,26500.0,26200.0,","64.14,57.57,60.92,54.24,","52.62,59.33,56.0,67.55,"
199,BANKNIFTY_01-01-2019_11:00.csv,27090.0,0.8285081160039549,"27500.0,27300.0,27400.0,27200.0,","27000.0,26800.0,26900.0,26500.0,","-122.16,-78.94,-99.02,-65.29,","25.78,20.5,24.49,-4.03,","27300.0,27200.0,26800.0,26900.0,","27800.0,28100.0,26000.0,26500.0,","63.59,57.01,60.33,53.69,","53.18,59.97,56.62,68.34,"
200,BANKNIFTY_01-01-2019_11:30.csv,27090.0,0.828133093259009,"27500.0,27300.0,27400.0,27200.0,","27000.0,26900.0,26800.0,26500.0,","-111.86,-74.13,-90.52,-61.87,","23.54,21.08,17.52,-11.21,","27300.0,27200.0,26900.0,26800.0,","27800.0,28100.0,26500.0,26000.0,","63.88,57.14,60.53,53.76,","53.1,56.51,59.81,68.06,"
201,BANKNIFTY_01-01-2019_12:00.csv,27108.0,0.8279052291807463,"27500.0,27300.0,27400.0,27200.0,","27000.0,26900.0,26800.0,26500.0,","-105.5,-68.25,-84.0,-55.65,","18.04,15.85,11.26,-17.81,","27300.0,27200.0,26900.0,26800.0,","28100.0,27800.0,26500.0,26000.0,","63.19,56.48,59.8,53.11,","53.86,57.28,60.66,68.84,"
202,BANKNIFTY_01-01-2019_12:30.csv,27098.5,0.8263899357612126,"27500.0,27300.0,27400.0,27200.0,","27000.0,26900.0,26800.0,26500.0,","-122.16,-80.06,-100.77,-64.67,","18.43,15.85,10.49,-24.04,","27200.0,27300.0,27000.0,26900.0,","27800.0,28100.0,26500.0,26200.0,","63.88,57.03,60.48,53.55,","53.48,56.94,60.31,68.54,"
