,name,curprice,pcr,resistance,support,CallChngInLTP,PutChngInLTP,CoiMaxAdd,CoiMaxExit,callprob,putprob
875,NIFTY_05-03-2019_13:30.csv,10931.3,1.6051535530370908,"11000.0,11100.0,10950.0,11050.0,","10800.0,10900.0,10700.0,10850.0,","-16.58,-82.0,3.11,-40.82,","-154.77,-104.53,-176.82,-143.39,","11100.0,10900.0,10800.0,10900.0,","11150.0,11400.0,10500.0,10650.0,","57.31,68.45,51.98,63.2,","60.47,52.76,66.07,56.94,"
876,NIFTY_05-03-2019_14:00.csv,10934.0,1.6264434967186618,"11000.0,11100.0,10950.0,11050.0,","10800.0,10900.0,10700.0,10850.0,","-9.93,-68.52,6.52,-28.57,","-162.86,-106.87,-198.57,-144.91,","11100.0,10900.0,10900.0,10800.0,","11150.0,10850.0,10500.0,10650.0,","57.28,68.78,51.78,63.25,","60.83,53.03,66.45,57.29,"
877,NIFTY_05-03-2019_14:30.csv,10945.95,1.6962969567284831,"11000.0,11100.0,10950.0,11050.0,","10800.0,10900.0,10700.0,10850.0,","3.28,-37.88,16.14,-10.11,","-214.83,-152.48,-219.08,-205.97,","11100.0,10900.0,10900.0,10800.0,","11150.0,10850.0,10500.0,10650.0,","56.2,68.16,50.47,62.35,","61.48,53.98,66.49,58.12,"
878,NIFTY_05-03-2019_15:00.csv,10980.45,1.8429398978488287,"11000.0,11100.0,11050.0,11200.0,","10800.0,10900.0,10700.0,10850.0,","40.46,36.36,41.19,-27.27,","-320.3,-288.07,-276.58,-320.71,","11100.0,11000.0,10900.0,10800.0,","10850.0,10800.0,10650.0,10500.0,","52.18,63.68,58.01,72.94,","63.91,57.62,67.83,61.35,"
879,NIFTY_05-03-2019_15:25.csv,10991.8,1.9872570245211088,"11000.0,11100.0,11050.0,11200.0,","10800.0,10900.0,10700.0,10500.0,","50.17,50.27,53.06,-3.7,","-298.08,-344.26,-234.4,-180.3,","11100.0,11050.0,10900.0,10800.0,","10800.0,10850.0,10650.0,10500.0,","50.94,62.9,56.81,72.37,","63.49,58.17,67.14,71.71,"
880,NIFTY_05-03-2019_15:32.csv,10986.8,2.0435467076556924,"11000.0,11100.0,11050.0,11200.0,","10800.0,10900.0,10700.0,10500.0,","45.91,47.09,48.25,9.68,","-276.36,-303.47,-192.31,-168.12,","11100.0,11050.0,10900.0,10800.0,","10800.0,10850.0,10650.0,10500.0,","51.51,63.47,57.39,72.85,","63.15,57.73,66.87,71.52,"
881,NIFTY_06-03-2019_09:00.csv,10987.45,2.0433777330987684,"11000.0,11100.0,11050.0,11200.0,","10800.0,10900.0,10700.0,10500.0,","nan,nan,nan,nan,","nan,nan,nan,nan,","9100.0,10900.0,9100.0,10900.0,","9100.0,10950.0,9100.0,10950.0,","51.41,63.4,57.28,72.19,","63.51,57.99,67.25,71.79,"
882,NIFTY_06-03-2019_09:30.csv,11046.2,2.0614130625724627,"11100.0,11050.0,11200.0,11150.0,","10800.0,10900.0,11000.0,10700.0,","36.7,33.0,37.21,35.92,","-125.0,-121.67,-72.66,-96.92,","11200.0,11100.0,11000.0,10900.0,","10950.0,10800.0,10750.0,10400.0,","55.88,50.44,64.16,60.65,","63.09,59.81,53.33,65.19,"
883,NIFTY_06-03-2019_10:00.csv,11036.6,1.836863335877181,"11100.0,11200.0,11050.0,11150.0,","10800.0,10900.0,11000.0,10700.0,","34.75,37.21,29.17,33.33,","-107.69,-108.9,-67.73,-91.04,","11200.0,11100.0,11000.0,10950.0,","10900.0,10950.0,10750.0,10700.0,","56.46,64.46,51.43,61.04,","62.7,59.21,52.75,64.9,"
884,NIFTY_06-03-2019_10:30.csv,11016.1,1.7555710306406684,"11100.0,11200.0,11050.0,11150.0,","10800.0,10900.0,11000.0,10700.0,","1.17,15.62,1.45,0.0,","-98.17,-90.0,-39.39,-80.28,","11200.0,11100.0,11000.0,10950.0,","10900.0,10800.0,10750.0,10700.0,","58.5,65.97,53.59,62.95,","61.91,58.16,51.24,64.39,"
885,NIFTY_06-03-2019_11:00.csv,11032.85,1.7790554262451663,"11100.0,11200.0,11050.0,11150.0,","10800.0,10900.0,11000.0,10700.0,","31.58,32.5,28.42,29.79,","-107.69,-110.0,-65.51,-82.86,","11200.0,11100.0,11000.0,10950.0,","10900.0,10800.0,10750.0,10700.0,","56.81,64.76,51.79,61.26,","62.86,59.25,52.51,65.05,"
886,NIFTY_06-03-2019_11:30.csv,11035.35,1.8016476610735483,"11100.0,11200.0,11050.0,11150.0,","11000.0,10800.0,10900.0,10700.0,","28.99,27.03,25.82,23.26,","-64.96,-107.69,-112.23,-85.51,","11200.0,11100.0,11000.0,10950.0,","10900.0,10800.0,10750.0,10800.0,","56.62,64.73,51.55,61.2,","52.67,62.77,59.26,64.95,"
887,NIFTY_06-03-2019_12:00.csv,11041.0,1.7861954189112252,"11100.0,11200.0,11050.0,11150.0,","11000.0,10900.0,10800.0,10700.0,","28.09,20.59,27.14,19.51,","-85.5,-126.7,-120.41,-93.94,","11200.0,11100.0,11000.0,10950.0,","10900.0,10800.0,10750.0,10800.0,","56.22,65.01,50.98,61.31,","53.18,59.63,62.88,65.0,"
