,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,-,-,-,-,-,-,45000,49.75,70.85,45000,165.00,-,-,2.40,1800,-,-,-,-,-,-,223.5
1,-,-,-,-,-,-,45000,45.00,64.05,45000,170.00,-,-,2.40,1800,-,-,-,-,-,-,223.5
2,-,-,-,-,-,-,45000,40.55,58.05,45000,175.00,1800,0.05,2.80,1800,-,-,-,-,-,1800,223.5
3,-,-,-,-,-,-,45000,36.95,48.60,45000,180.00,1800,0.40,1.35,1800,-0.20,0.30,85.03,2,-,14400,223.5
4,-,-,-,-,-,-,45000,32.00,45.05,45000,185.00,-,-,0.50,1800,-,-,-,-,-,9000,223.5
5,7200,-,-,-,-,-,3600,32.45,35.10,3600,190.00,3600,0.35,0.70,1800,0.15,0.75,81.04,4,-,117000,223.5
6,-,-,-,-,-,-,12600,27.50,30.00,12600,195.00,-,-,0.75,1800,-,-,-,-,-,14400,223.5
7,5400,-,-,-,-,-,10800,23.50,24.95,1800,200.00,5400,1.05,1.15,5400,-,1.10,66.38,39,-9000,399600,223.5
8,1800,-,-,-,-,-,1800,19.00,20.95,10800,205.00,3600,1.25,1.65,7200,-0.15,1.40,60.81,39,3600,115200,223.5
9,16200,1800,11,-,13.50,-3.25,3600,14.75,15.90,5400,210.00,10800,1.90,2.00,1800,-0.25,1.95,55.21,135,-25200,401400,223.5
10,64800,-3600,6,31.40,9.60,-2.70,5400,11.15,11.55,1800,215.00,3600,2.85,2.90,1800,-0.30,2.85,51.20,147,-1800,531000,223.5
11,401400,30600,115,47.26,7.60,-0.60,3600,7.55,7.85,3600,220.00,1800,4.10,4.30,1800,-0.10,4.15,47.02,156,-27000,289800,223.5
12,300600,23400,125,43.53,4.75,-0.55,5400,4.55,4.80,3600,225.00,1800,6.25,6.55,1800,0.15,6.25,45.00,35,-12600,63000,223.5
13,473400,23400,244,42.54,2.75,-0.45,3600,2.60,2.80,5400,230.00,1800,9.20,9.70,3600,0.75,9.80,49.07,7,3600,52200,223.5
14,756000,10800,47,42.38,1.50,-0.15,3600,1.25,1.35,1800,235.00,3600,12.40,13.55,9000,-2.35,13.10,45.68,6,-7200,50400,223.5
15,509400,14400,53,45.28,0.90,-0.05,3600,0.85,0.90,3600,240.00,1800,16.60,17.80,1800,4.05,20.20,78.43,4,-5400,37800,223.5
16,126000,1800,2,47.83,0.60,-0.10,5400,0.50,0.60,1800,245.00,3600,21.50,22.45,1800,-,-,-,-,-,14400,223.5
