,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI,CurrentVal
0,1750,-,-,-,-,-,-,-,96.95,1750,110.00,5250,0.35,0.45,1750,-0.05,0.40,102.91,3,1750,42000,175.55
1,3500,-,-,-,-,-,-,-,87.95,1750,115.00,1750,0.10,1.00,3500,-,-,-,-,-,-,175.55
2,1750,-,-,-,-,-,-,-,86.90,1750,120.00,3500,0.75,1.00,3500,0.30,1.10,105.81,11,1750,42000,175.55
3,3500,-,-,-,-,-,-,-,79.50,1750,125.00,7000,0.20,2.80,3500,-,-,-,-,-,-,175.55
4,3500,-,-,-,-,-,1750,17.10,74.95,1750,130.00,8750,1.10,1.20,15750,0.25,1.20,87.81,121,33250,176750,175.55
5,3500,-,-,-,-,-,1750,12.60,69.85,1750,135.00,10500,1.35,1.85,10500,-2.05,1.40,88.01,4,-,36750,175.55
6,5250,-,-,-,-,-,1750,34.60,41.50,1750,140.00,10500,1.95,2.00,8750,0.20,2.00,82.25,299,10500,659750,175.55
7,3500,-,-,-,-,-,36750,31.20,34.85,1750,145.00,8750,2.30,2.70,1750,-0.05,2.50,79.92,21,14000,66500,175.55
8,28000,-,2,51.43,27.85,-2.80,14000,29.20,30.35,3500,150.00,12250,3.55,3.65,12250,0.15,3.60,79.87,594,56000,1167250,175.55
9,5250,-1750,3,67.26,25.20,-0.50,1750,24.95,26.00,1750,155.00,3500,4.60,4.70,14000,0.20,4.65,77.03,63,19250,227500,175.55
10,64750,8750,12,65.79,21.35,-0.75,1750,21.80,22.35,1750,160.00,15750,6.00,6.05,3500,0.20,6.05,77.11,1163,143500,1790250,175.55
11,14000,-,2,68.44,18.40,-0.30,1750,18.65,19.05,1750,165.00,8750,7.65,7.75,8750,0.20,7.70,75.58,557,29750,360500,175.55
12,334250,78750,285,71.94,15.75,-0.10,3500,15.75,15.95,5250,170.00,8750,9.65,9.75,12250,0.15,9.65,75.43,1354,43750,1627500,175.55
13,243250,87500,231,70.80,13.20,-0.05,5250,13.05,13.30,1750,175.00,1750,11.85,11.95,3500,0.20,11.95,74.33,355,21000,458500,175.55
14,2182250,267750,1541,71.61,10.95,0.10,1750,10.85,10.95,10500,180.00,3500,14.45,14.60,5250,0.35,14.55,74.11,713,-71750,1942500,175.55
15,894250,15750,498,71.19,8.95,0.05,7000,8.85,8.95,8750,185.00,1750,17.45,17.70,1750,0.50,17.55,73.90,143,-22750,260750,175.55
16,2341500,264250,1505,70.52,7.15,-0.05,3500,7.10,7.15,7000,190.00,3500,20.65,20.85,3500,-0.15,20.55,73.81,210,-77000,1216250,175.55
17,820750,45500,458,70.31,5.70,-0.10,12250,5.65,5.75,7000,195.00,3500,24.10,24.50,1750,1.70,25.80,84.66,5,-1750,217000,175.55
18,5722500,302750,1569,70.85,4.65,-0.05,21000,4.55,4.65,17500,200.00,3500,27.95,28.40,10500,-0.75,27.60,82.68,109,8750,1275750,175.55
19,892500,-10500,237,70.65,3.65,-0.10,8750,3.65,3.70,3500,205.00,1750,31.75,32.35,3500,3.05,33.00,82.62,1,-,87500,175.55
20,3911250,7000,954,70.99,2.85,-0.10,1750,2.85,2.90,17500,210.00,1750,36.15,36.60,5250,-0.50,36.00,74.47,15,-14000,528500,175.55
21,693000,40250,84,70.41,2.20,-0.15,10500,2.20,2.25,1750,215.00,3500,40.15,41.15,1750,2.75,42.00,89.00,5,-1750,66500,175.55
22,4569250,7000,591,72.15,1.85,-0.10,17500,1.85,1.90,15750,220.00,3500,44.80,45.60,1750,0.95,46.20,88.67,6,-1750,554750,175.55
23,780500,22750,103,72.40,1.45,-0.15,3500,1.50,1.60,15750,225.00,1750,49.45,50.25,1750,0.10,48.75,68.39,2,-,61250,175.55
24,3025750,-17500,421,74.37,1.25,-0.05,15750,1.20,1.25,12250,230.00,1750,54.15,54.95,1750,-1.40,53.80,74.11,1,-,192500,175.55
25,371000,-1750,26,74.92,1.00,-0.10,1750,1.00,1.05,12250,235.00,1750,59.00,59.60,1750,-,-,-,-,-,21000,175.55
26,2625000,-8750,224,76.41,0.85,-0.05,7000,0.85,0.90,73500,240.00,1750,61.15,64.60,5250,-,-,-,-,-,49000,175.55
27,171500,-3500,10,78.36,0.75,-0.05,10500,0.70,0.80,10500,245.00,1750,68.30,70.25,5250,-,-,-,-,-,8750,175.55
28,3286500,7000,261,79.91,0.60,-0.10,14000,0.60,0.65,45500,250.00,5250,72.95,74.35,1750,1.55,73.50,87.91,1,-,176750,175.55
29,168000,-,2,82.27,0.60,-,7000,0.50,0.60,21000,255.00,1750,78.20,80.00,5250,-,-,-,-,-,10500,175.55
30,1356250,22750,69,83.03,0.50,-0.10,31500,0.45,0.50,7000,260.00,1750,82.85,84.20,1750,-,-,-,-,-,61250,175.55
31,1067500,-10500,54,84.52,0.35,-0.15,40250,0.35,0.40,36750,270.00,5250,92.45,94.35,1750,3.30,94.00,112.93,1,1750,502250,175.55
