,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI
0,-,-,-,-,-,-,2400,1424.85,1664.60,2400,27000.00,20,0.05,0.35,600,-,-,-,-,-,-
1,120,-160,9,-,1480.10,-232.70,20,1448.10,1468.85,20,27100.00,6740,0.05,0.20,960,-0.75,0.05,-,79,1080,2100
2,-,-,-,-,-,-,140,1288.15,1459.65,200,27200.00,-,-,0.30,20,-0.80,0.05,-,10,-,280
3,40,-40,6,-,1280.00,-370.00,20,1243.05,1272.85,20,27300.00,2000,0.05,0.10,1620,-1.35,0.10,-,1549,-10580,51040
4,-,-,-,-,-,-,20,1144.80,1182.85,20,27400.00,500,0.05,0.10,100,-2.00,0.10,-,699,-620,12220
5,40,-,1,-,1076.90,-262.90,20,1044.80,1082.90,20,27500.00,16180,0.05,0.15,1400,-2.80,0.15,-,6803,-32400,107100
6,-,-,-,-,-,-,20,944.85,982.65,20,27600.00,11120,0.05,0.10,600,-3.20,0.10,-,1910,1880,31600
7,40,-,1,-,885.40,-245.85,20,844.70,869.85,20,27700.00,2380,0.10,0.15,900,-3.80,0.10,-,3029,9620,25940
8,160,-,2,-,761.95,-270.25,20,753.10,783.35,20,27800.00,14920,0.10,0.20,1140,-4.65,0.15,-,7271,17900,56560
9,80,-100,8,-,657.10,-279.90,40,643.30,681.35,20,27900.00,1880,0.20,0.25,6100,-6.10,0.25,-,24095,13140,92100
10,10580,2880,989,-,556.45,-49.90,40,560.95,571.20,20,28000.00,147320,0.50,0.55,5540,-8.35,0.55,-,214976,190400,498760
11,1980,1920,291,-,453.35,3.35,40,456.70,463.25,80,28100.00,2720,1.05,1.10,2100,-11.20,1.10,-,150914,305000,461740
12,6720,5100,3009,-,364.00,-46.00,40,363.75,367.20,180,28200.00,40,2.95,3.00,2560,-16.90,2.95,-,288397,550700,749540
13,19280,16580,8256,-,268.15,-70.65,40,269.50,272.95,20,28300.00,560,9.20,9.35,1360,-21.40,9.35,-,434127,734340,966520
14,62720,56180,50374,-,187.00,-58.15,40,187.00,188.60,100,28400.00,120,24.45,24.70,680,-23.45,24.70,-,584106,801240,1075960
15,265400,206080,198959,-,119.90,-61.15,40,119.45,120.25,40,28500.00,80,53.60,54.00,60,-20.00,54.00,-,626387,840200,1269820
16,973540,806280,570725,-,66.10,-55.75,20,65.65,66.15,320,28600.00,60,97.55,98.15,20,-11.65,97.95,-,436040,536800,743100
17,1285420,1008340,689376,-,32.15,-50.10,200,32.15,32.45,20,28700.00,60,156.70,157.70,60,1.10,156.55,-,166858,126440,275100
18,1703280,1233520,721096,-,13.45,-39.40,760,13.40,13.55,40,28800.00,40,228.05,230.05,20,14.00,230.50,-,60307,-40300,121340
19,1177220,660340,571889,-,5.05,-27.85,240,5.05,5.10,40,28900.00,40,314.65,317.80,80,30.20,318.00,-,13642,-10220,46320
