,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI
0,-,-,-,-,-,-,4950,1353.50,1752.25,4950,9650.00,-,-,0.15,75,-,-,-,-,-,-
1,-,-,-,-,-,-,4950,1227.15,1693.50,4950,9700.00,-,-,0.15,75,-,-,-,-,-,-
2,-,-,-,-,-,-,4950,1184.65,1635.55,4950,9750.00,-,-,0.15,75,-,-,-,-,-,-
3,-,-,-,-,-,-,75,1216.70,1577.60,75,9800.00,-,-,0.10,4500,-0.10,0.05,-,2320,4950,5175
4,-,-,-,-,-,-,75,1171.85,1520.10,75,9850.00,4500,0.05,0.10,3075,-0.25,0.05,-,12287,5100,7125
5,-,-,-,-,-,-,75,1123.40,1444.75,75,9900.00,-,-,0.05,2400,-0.35,0.05,-,10555,2475,2475
6,-,-,-,-,-,-,75,1082.40,1405.75,75,9950.00,-,-,0.20,150,-0.40,0.05,-,20,75,225
7,-,-,2,-,1190.00,-283.30,75,1037.65,1296.70,75,10000.00,-,-,0.10,4575,-0.20,0.05,-,195,600,121125
8,-,-,-,-,-,-,4950,928.15,1289.20,4950,10050.00,-,-,0.20,2550,-0.35,0.05,-,8,300,375
9,-,-,-,-,-,-,75,933.10,1244.75,75,10100.00,-,-,0.15,43875,-0.05,0.05,-,60,4050,5850
10,-,-,-,-,-,-,4950,842.50,1173.65,4950,10150.00,-,-,0.25,150,-0.30,0.05,-,5,150,225
11,-,-,-,-,-,-,4950,750.15,1144.85,4950,10200.00,-,-,0.10,75,-0.05,0.05,-,43,2925,4800
12,-,-,-,-,-,-,4950,757.15,1149.95,4950,10250.00,-,-,0.30,3000,-,-,-,-,-,-
13,-,-,-,-,-,-,75,817.40,877.65,5025,10300.00,-,-,0.10,150,-0.30,0.05,-,22,-300,4500
14,-,-,-,-,-,-,4950,767.35,827.65,4950,10350.00,-,-,0.30,3000,-0.70,0.05,-,2,-,225
15,-,-,-,-,-,-,75,717.45,777.60,75,10400.00,-,-,0.10,1125,-0.10,0.05,-,103,-375,20850
16,-,-,-,-,-,-,4950,667.40,727.65,4950,10450.00,-,-,0.15,75,-0.60,0.05,-,7,-225,300
17,-,-,-,-,-,-,75,617.50,677.65,75,10500.00,160425,0.05,0.10,32325,-0.45,0.10,-,4241,-22725,723150
18,-,-,-,-,-,-,4950,567.40,627.70,4950,10550.00,-,-,0.30,3000,-,-,-,-,-,-
19,75,-,-,-,-,-,75,517.45,577.65,75,10600.00,16875,0.05,0.10,600,-0.65,0.05,-,567,600,120750
20,-,-,-,-,-,-,4950,467.10,527.35,4950,10650.00,-,-,0.10,675,-0.50,0.10,-,2,75,450
21,75,-75,1,-,444.00,-8.25,75,439.80,467.45,75,10700.00,146250,0.05,0.10,10875,-0.90,0.05,-,4214,-18525,306375
22,-,-,-,-,-,-,75,372.65,423.50,150,10750.00,2925,0.05,0.10,300,-1.00,0.05,-,104,750,12225
23,1200,-,5,-,356.10,-35.10,75,350.90,367.50,4950,10800.00,425850,0.05,0.10,18075,-1.30,0.05,-,5721,-59175,562650
24,-,-,-,-,-,-,75,299.40,320.10,75,10850.00,158475,0.05,0.10,9750,-1.50,0.05,-,1651,-12525,85275
25,7725,5625,375,-,262.15,14.50,75,259.55,260.80,75,10900.00,20325,0.10,0.15,90750,-2.15,0.15,-,19898,281400,921225
26,1125,1050,75,-,210.90,16.60,75,198.50,212.10,75,10950.00,150,0.15,0.20,33225,-3.40,0.15,-,27474,180975,409425
27,106575,38400,13798,-,158.55,1.80,75,157.75,158.80,75,11000.00,80625,0.35,0.40,55575,-6.55,0.40,-,215513,2455950,4284000
28,70425,44850,5661,-,108.50,2.05,75,108.45,109.90,150,11050.00,4425,0.90,0.95,1500,-11.15,0.90,-,193879,1471050,1961925
