,CallOI,CallChnginOI,CallVolume,CallIV,CallLTP,CallNetChng,CallBidQty,CallBidPrice,CallAskPrice,CallAskQty,StrikePrice,PutBidQty,PutBidPrice,PutAskPrice,PutAskQty,PutNetChng,PutLTP,PutIV,PutVolume,PutChnginOI,PutOI
0,-,-,-,-,-,-,100,1733.30,1870.10,20,27000.00,20,206.10,224.95,20,205.95,209.15,51.16,411,-,5140
1,-,-,-,-,-,-,2400,1647.85,1837.30,2400,27100.00,300,205.30,248.00,20,190.20,200.00,46.90,1,20,20
2,-,-,-,-,-,-,2400,1566.50,1753.15,2400,27200.00,300,220.60,278.70,40,264.20,277.50,51.73,43,560,560
3,60,60,5,40.44,1500.00,-176.75,40,1488.45,1656.60,2400,27300.00,20,250.05,-,-,21.05,250.00,47.34,74,1060,1080
4,-,-,-,-,-,-,2400,1387.55,1565.45,2400,27400.00,16900,165.00,-,-,-,-,-,-,-,-
5,380,40,8,43.42,1381.45,-178.55,20,1384.60,1433.45,20,27500.00,20,319.45,322.90,20,-10.10,320.65,49.01,3175,20460,29880
6,-,-,-,-,-,-,100,1215.35,1479.75,2400,27600.00,3300,305.00,-,-,-,-,-,-,-,-
7,-,-,-,-,-,-,100,1197.75,1367.45,200,27700.00,40,370.90,379.15,40,-7.75,383.60,48.91,130,360,1780
8,-,-,-,-,-,-,100,1125.55,1308.40,200,27800.00,100,398.80,410.10,40,-8.80,408.20,48.29,162,840,1760
9,-,-,-,-,-,-,100,1046.75,1202.35,2400,27900.00,60,429.90,435.00,100,234.60,433.40,47.70,44,480,480
10,980,460,48,42.86,1030.35,-32.15,20,1035.30,1064.95,20,28000.00,40,460.65,463.10,20,-22.35,460.90,47.31,3301,16960,24780
11,500,-,13,42.60,964.35,-195.65,20,971.30,1000.80,20,28100.00,20,494.30,497.80,80,83.00,493.00,47.03,447,2540,2740
12,-,-,1,44.92,939.50,-1240.35,20,907.10,941.75,400,28200.00,20,531.10,534.50,20,347.80,532.75,46.71,239,2240,2240
13,60,60,10,44.77,880.00,-1219.20,20,854.15,887.60,20,28300.00,40,568.15,571.55,20,-24.65,575.00,46.53,846,5740,8100
14,20,20,3,43.49,805.00,-1214.90,20,801.40,829.45,20,28400.00,60,609.10,612.50,20,-31.90,615.00,45.92,755,5540,6340
15,15100,13320,1779,44.31,765.00,-44.60,20,760.65,765.45,20,28500.00,60,653.50,657.15,40,-33.40,658.20,45.89,2754,18140,26000
16,14260,13380,1729,43.58,702.75,-35.05,20,701.55,705.95,20,28600.00,20,694.00,697.45,20,-30.50,700.45,45.27,2456,19880,23140
17,15900,14920,1404,43.40,650.00,-57.90,20,648.90,652.25,20,28700.00,20,740.10,744.25,40,-27.10,743.65,45.05,1185,11440,12200
18,4200,900,832,43.37,602.55,-69.65,40,601.35,604.75,60,28800.00,20,791.55,796.45,20,-17.30,799.10,44.97,209,20,2020
19,7020,6020,1154,43.64,553.00,-57.80,60,552.75,556.60,40,28900.00,20,841.80,860.20,80,-4.80,850.00,44.61,149,460,960
